"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"United States","USA","General government final consumption expenditure (annual % growth)","NE.CON.GOVT.KD.ZG","","","","","","","","","","","","8.3901755841997","7.91443338437973","6.04306911812991","10.9064296915838","11.8851454535171","5.99309124610319","8.47704986836592","8.67634515445424","9.15257437225227","12.0939943909761","11.7692053345091","9.36571204301033","7.36913669077725","6.60656070864111","8.80881259374095","6.85581489632803","5.27162328977803","5.60707845224503","7.4318608965277","7.57372403222504","5.97678092916532","4.33156160144561","2.35190765282356","3.2674457604636","3.03600484048263","2.72793440026501","4.06168017180491","3.8572650530416","6.6124595396835","6.37555709521133","6.99525872639677","6.999832917465","6.10996713485773","6.04347970487706","5.94555920507321","5.65364288959043","6.05797622901582","2.38020199747946","4.21894775338332","-0.0501956178765681","-3.09015576242399","-1.44452138040646","-1.90680242817345","-0.829292579771206","1.73903901467408","1.7542795547713","-0.0749884463335917","1.39388757431746","3.92501656033191","3.03657405563091","0.428008147755747","-1.16248283612987","2.92755862412058","2.4623052355564",
"United States","USA","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","6120000000","6306000000","6179000000","9409000000","12314000000","11487000000","8651000000","7275000000","8570000000","12070000000","8885000000","11772000000","10664000000","11960000000","12768000000","15277000000","15648000000","14363000000","13639000000","9797000000","10684000000","13592000000","13979000000","13883000000","11875000000","10769000000","11613000000","12161000000","11990000000","11316000000","10643000000","12483000000","14087000000","13766000000","11492000000","11219000000","10834000000","14513000000","15813000000","11529000000","7677000000","5597000000","4888000000","5647000000","6930000000","6718000000","7509000000","7910000000","7149000000","7197000000","8391000000","9022000000","8947000000","7724000000","9505000000","9743000000","9426000000","11409000000","9255000000","10534000000","10024000000","10960000000","15351000000","11102000000","13512000000",
"United States","USA","Military expenditure (current USD)","MS.MIL.XPND.CD","47346552670.2126","49879770605.0578","54650942605.0773","54561215775.4246","53432327058.1665","54561791263.2266","66442751527.3178","78398442240.5239","84329031218.2481","84990165430.7737","83407993004.8882","78237979893.08","80708070966.4935","81469794407.5887","89278920339.82","92080928753.6472","94715251079.7143","104665218971.628","113382063749.093","126879927116.756","143688354872.676","176558875270.821","221673542584.02","223427165005.73","245149168288.537","272163229313.057","295546223803.599","304086648682.908","309661269300.954","321866558808.32","325129313986.031","299372779114.591","325033735954.804","316719443747.423","308084000000","295853097724.661","287960668678.94","293167825790.971","290996055088.378","298094891322.404","320086324211.196","331805610572.137","378463138753.841","440532069586.192","492999376159.397","533203000000","558335000000","589586000000","656756000000","705917000000","738005000000","752288000000","725205000000","679229000000","647789000000","633829639000","639856443000","646752927000","682491400000","734344100000","778397200000","806230200000","860692200000","916014700000","",
"United States","USA","Logistics performance index: Ability to track and trace consignments (1=low to 5=high)","LP.LPI.TRAC.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01","","","4.17","","4.11","","4.137596","","4.200025","","4.09","","","","4.2","","",
"United States","USA","Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)","LP.LPI.ITRN.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.58","","","3.21","","3.56","","3.44804","","3.650306","","3.51","","","","3.4","","",
"United States","USA","Lead time to export, median case (days)","LP.EXP.DURS.MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","","","2.82","","2","","2","","3","","2","","","","","","",
"United States","USA","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2481.3058353974","2983.8141619928","3836.05795090734","4294.07370746707","5115.54683309614","6337.61084209589","11389.9150845803","30199.9571603454","65494.8762801956","123268.08312533","140775.773474768","156949.432905341","180213.052484185","186692.908896926","196554.134852003",
"United States","USA","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","27.96378775","26.3865","26.3865","26.3865","26.3865","30.72640551","29.1834","29.1834","29.1834","29.1834","34.46292222","32.9521","32.9521","32.9521","32.9521","38.10918321","38.82495966","39.65235267","40.58675269","41.39694751","42.25239419","46.77923647","47.15725671","48.01107092","48.35354116","49.32498245","49.80326512","51.19350727","52.45280929","53.68539299","53.7","54.4","55.2","56.4","57.8","59.5","61.5","63.6","65.1","68","68.4","67.4","65.9","63.1","60.7","59.2","56.1","52.5","53.4","49.6","48.1","45.6","43.7","41.6","39.8","38.3","36.9","35","32.9","31.5","30","28.6","27.5","25.6","",
"United States","USA","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28300000","27307576","29676890","32689484","34901628","38497839","40896742","44839390","42411770.0512","37353574.903","41610618","42100460","43120527","43934361","45790065","47684805","48149002","51522489","54483231","55711323","54467322","62161482","62214119","","",
"United States","USA","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1906206","1979622","1969331","2010027","2092745","2140191","2183277","2200123","2264983","2427268","2476653","2586836","2584940","2594631","2236917","2468738","2524585","2500300","2541354","2702736","2547253","2314693","2445132","2525217.324","2357116.529","2102083.985","2239400.714","","","",
"United States","USA","Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)","IQ.SPI.PIL5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","95","100","100","100","",
"United States","USA","Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)","IQ.SPI.PIL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","40","40","40","60","60","60","60","60","80","100","100","100","100","100","100","100","100","",
"United States","USA","Prevalence of severe wasting, weight for height, male (% of children under 5)","SH.SVR.WAST.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","0.2","","0.1","","0.1","","0.1","","0.1","","0","","0","","0","","0","","0","","","","","","",
"United States","USA","Prevalence of wasting, weight for height, female (% of children under 5)","SH.STA.WAST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","","","","","","0.1","","0.1","","0.9","","1.1","","0.4","","0","","0.5","","0","","0.1","","0","","","","","","",
"United States","USA","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.89","18.48","18.87","18.62","18.63","18.59","18.74","19.27","19.84","20.07","20.68","20.95","21.24","21.14","21.65","21.98","22.4","23.46","23.88","23.46","23.59","24.69","","","",
"United States","USA","Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)","SH.STA.STNT.ME.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.3","3.2","3.1","3","3","2.9","2.9","2.8","2.8","2.8","2.8","2.8","2.9","3","3.1","3.3","3.4","3.5","3.6","3.8","4","4.3","4.5","4.7",
"United States","USA","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.496190726794","96.5574451328594","96.6187980910896","96.6802433560019","96.741770528809","96.803402369468","96.8651167202463","96.9269187733198","96.9888088051448","97.0507855040053","97.1058935492494","97.1391348989208","97.1732886957104","97.2083507158898","97.2443511872665","97.2170064932042","97.1902718853189","97.1641625076281","97.1386804245827","97.113840693715","97.0896575350512","97.0661458186488","97.0433043325004","","",
"United States","USA","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","SH.STA.POIS.P5.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","0.25","0.26","0.25","0.26","0.26","0.27","0.3","0.3","0.33","0.28","0.32","0.33","0.27","0.28","0.3","0.31","0.32","0.33","0.34","0.37","0.36","","","",
"United States","USA","Prevalence of overweight, weight for height, male (modeled estimate, % of children under 5)","SH.STA.OWGH.ME.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2","8.3","8.3","8.4","8.4","8.5","8.5","8.6","8.6","8.6","8.7","8.7","8.7","8.8","8.8","8.9","9","9.1","9.2","9.3","9.5","9.6","9.8","10.1","10.3",
